sentiment_threshold,news_confidence_threshold,strong_signal_threshold,stop_loss_pct,take_profit_pct,total_pnl,win_rate,total_trades,avg_trade_pnl,max_drawdown,sharpe_ratio,strong_signal_pnl,weak_signal_pnl,stop_loss_count,take_profit_count,avg_hold_time,profit_factor,strong_signals,weak_signals
0.3,0.5,0.8,0.02,0.04,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.3,0.5,0.8,0.02,0.05,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.3,0.5,0.8,0.02,0.06,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.3,0.5,0.8,0.03,0.04,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.3,0.5,0.8,0.03,0.05,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.3,0.5,0.8,0.03,0.06,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.3,0.5,0.8,0.04,0.04,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.3,0.5,0.8,0.04,0.05,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.3,0.5,0.8,0.04,0.06,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.3,0.5,0.9,0.02,0.04,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.3,0.5,0.9,0.02,0.05,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.3,0.5,0.9,0.02,0.06,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.3,0.5,0.9,0.03,0.04,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.3,0.5,0.9,0.03,0.05,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.3,0.5,0.9,0.03,0.06,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.3,0.5,0.9,0.04,0.04,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.3,0.5,0.9,0.04,0.05,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.3,0.5,0.9,0.04,0.06,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.3,0.6,0.7,0.02,0.04,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.3,0.6,0.7,0.02,0.05,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.3,0.6,0.7,0.02,0.06,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.3,0.6,0.7,0.03,0.04,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.3,0.6,0.7,0.03,0.05,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.3,0.6,0.7,0.03,0.06,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.3,0.6,0.7,0.04,0.04,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.3,0.6,0.7,0.04,0.05,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.3,0.6,0.7,0.04,0.06,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.3,0.6,0.8,0.02,0.04,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.3,0.6,0.8,0.02,0.05,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.3,0.6,0.8,0.02,0.06,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.3,0.6,0.8,0.03,0.04,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.3,0.6,0.8,0.03,0.05,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.3,0.6,0.8,0.03,0.06,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.3,0.6,0.8,0.04,0.04,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.3,0.6,0.8,0.04,0.05,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.3,0.6,0.8,0.04,0.06,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.3,0.6,0.9,0.02,0.04,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.3,0.6,0.9,0.02,0.05,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.3,0.6,0.9,0.02,0.06,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.3,0.6,0.9,0.03,0.04,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.3,0.6,0.9,0.03,0.05,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.3,0.6,0.9,0.03,0.06,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.3,0.6,0.9,0.04,0.04,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.3,0.6,0.9,0.04,0.05,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.3,0.6,0.9,0.04,0.06,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.3,0.7,0.7,0.02,0.04,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.3,0.7,0.7,0.02,0.05,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.3,0.7,0.7,0.02,0.06,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.3,0.7,0.7,0.03,0.04,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.3,0.7,0.7,0.03,0.05,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.3,0.7,0.7,0.03,0.06,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.3,0.7,0.7,0.04,0.04,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.3,0.7,0.7,0.04,0.05,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.3,0.7,0.7,0.04,0.06,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.3,0.7,0.8,0.02,0.04,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.3,0.7,0.8,0.02,0.05,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.3,0.7,0.8,0.02,0.06,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.3,0.7,0.8,0.03,0.04,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.3,0.7,0.8,0.03,0.05,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.3,0.7,0.8,0.03,0.06,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.3,0.7,0.8,0.04,0.04,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.3,0.7,0.8,0.04,0.05,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.3,0.7,0.8,0.04,0.06,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.3,0.7,0.9,0.02,0.04,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.3,0.7,0.9,0.02,0.05,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.3,0.7,0.9,0.02,0.06,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.3,0.7,0.9,0.03,0.04,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.3,0.7,0.9,0.03,0.05,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.3,0.7,0.9,0.03,0.06,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.3,0.7,0.9,0.04,0.04,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.3,0.7,0.9,0.04,0.05,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.3,0.7,0.9,0.04,0.06,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.4,0.5,0.7,0.02,0.04,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.4,0.5,0.7,0.02,0.05,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.4,0.5,0.7,0.02,0.06,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.4,0.5,0.7,0.03,0.04,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.4,0.5,0.7,0.03,0.05,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.4,0.5,0.7,0.03,0.06,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.4,0.5,0.7,0.04,0.04,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.4,0.5,0.7,0.04,0.05,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.4,0.5,0.7,0.04,0.06,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.4,0.5,0.8,0.02,0.04,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.4,0.5,0.8,0.02,0.05,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.4,0.5,0.8,0.02,0.06,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.4,0.5,0.8,0.03,0.04,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.4,0.5,0.8,0.03,0.05,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.4,0.5,0.8,0.03,0.06,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.4,0.5,0.8,0.04,0.04,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.4,0.5,0.8,0.04,0.05,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.4,0.5,0.8,0.04,0.06,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.4,0.5,0.9,0.02,0.04,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.4,0.5,0.9,0.02,0.05,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.4,0.5,0.9,0.02,0.06,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.4,0.5,0.9,0.03,0.04,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.4,0.5,0.9,0.03,0.05,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.4,0.5,0.9,0.03,0.06,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.4,0.5,0.9,0.04,0.04,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.4,0.5,0.9,0.04,0.05,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.4,0.5,0.9,0.04,0.06,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.4,0.6,0.7,0.02,0.04,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.4,0.6,0.7,0.02,0.05,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.4,0.6,0.7,0.02,0.06,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.4,0.6,0.7,0.03,0.04,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.4,0.6,0.7,0.03,0.05,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.4,0.6,0.7,0.03,0.06,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.4,0.6,0.7,0.04,0.04,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.4,0.6,0.7,0.04,0.05,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.4,0.6,0.7,0.04,0.06,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.4,0.6,0.8,0.02,0.04,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.4,0.6,0.8,0.02,0.05,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.4,0.6,0.8,0.02,0.06,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.4,0.6,0.8,0.03,0.04,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.4,0.6,0.8,0.03,0.05,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.4,0.6,0.8,0.03,0.06,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.4,0.6,0.8,0.04,0.04,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.4,0.6,0.8,0.04,0.05,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.4,0.6,0.8,0.04,0.06,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.4,0.6,0.9,0.02,0.04,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.4,0.6,0.9,0.02,0.05,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.4,0.6,0.9,0.02,0.06,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.4,0.6,0.9,0.03,0.04,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.4,0.6,0.9,0.03,0.05,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.4,0.6,0.9,0.03,0.06,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
0.4,0.6,0.9,0.04,0.04,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0
